"State" "Account.Length" "Area.Code" "Phone" "Int.l.Plan" "VMail.Plan" "VMail.Message" "Day.Mins" "Day.Calls" "Day.Charge" "Eve.Mins" "Eve.Calls" "Eve.Charge" "Night.Mins" "Night.Calls" "Night.Charge" "Intl.Mins" "Intl.Calls" "Intl.Charge" "CustServ.Calls" "Churn."
"AK" 115 415 "333-3704" "no" "no" 0 245.2 105 41.68 159 109 13.52 229.9 74 10.35 7.2 8 1.94 0 "False."
"AK" 96 408 "334-4506" "no" "yes" 29 150 91 25.5 159.4 75 13.55 228.1 55 10.26 8.5 3 2.3 1 "False."
"AK" 78 408 "336-5406" "no" "no" 0 225.1 67 38.27 199.2 127 16.93 175.5 102 7.9 14.6 2 3.94 0 "False."
"AK" 115 415 "349-1756" "no" "no" 0 210.6 120 35.8 153.1 84 13.01 262.2 79 11.8 11 5 2.97 0 "False."
"AK" 173 510 "349-9060" "no" "no" 0 172.5 78 29.33 142.6 91 12.12 102 63 4.59 10.9 2 2.94 0 "False."
"AK" 51 510 "352-9130" "yes" "yes" 12 135.8 60 23.09 200.6 134 17.05 192.4 98 8.66 12.3 7 3.32 2 "False."
"AK" 52 415 "356-5244" "no" "yes" 24 170.9 71 29.05 201.4 80 17.12 159 124 7.15 4.1 5 1.11 2 "False."
"AK" 103 510 "359-9454" "no" "no" 0 190.9 62 32.45 226.6 53 19.26 230.1 96 10.35 7.8 3 2.11 2 "False."
"AK" 111 415 "364-7719" "no" "no" 0 172.8 58 29.38 183.1 108 15.56 158.8 104 7.15 7.9 3 2.13 4 "True."
"AK" 55 408 "365-6756" "no" "yes" 39 139.3 101 23.68 178.3 117 15.16 246.5 104 11.09 8.1 1 2.19 3 "False."
"AK" 59 510 "366-5241" "no" "no" 0 182.5 104 31.03 204.7 95 17.4 229.9 100 10.35 11.3 8 3.05 4 "False."
"AK" 120 415 "366-6991" "no" "no" 0 178.4 97 30.33 168.3 113 14.31 120.5 93 5.42 9.3 9 2.51 1 "False."
"AK" 126 415 "372-3750" "no" "no" 0 58.2 94 9.89 138.7 118 11.79 136.8 91 6.16 11.9 1 3.21 5 "True."
"AK" 41 415 "378-7733" "no" "no" 0 159.3 66 27.08 125.9 75 10.7 261.9 76 11.79 11.1 5 3 1 "False."
"AK" 146 510 "383-6544" "yes" "no" 0 133 65 22.61 262.8 93 22.34 214.3 128 9.64 11.2 3 3.02 1 "False."
"AK" 177 415 "384-6132" "yes" "no" 0 248.7 118 42.28 172.3 73 14.65 191.9 87 8.64 11.3 2 3.05 1 "True."
"AK" 130 415 "392-5587" "no" "no" 0 242.5 101 41.23 102.8 114 8.74 142.4 89 6.41 9.3 2 2.51 2 "False."
"AK" 100 415 "394-5202" "no" "yes" 29 213.6 127 36.31 175.9 82 14.95 207.2 100 9.32 8.9 3 2.4 1 "False."
"AK" 146 415 "397-5911" "no" "no" 0 195.9 86 33.3 228.6 82 19.43 303.5 94 13.66 12.2 4 3.29 3 "False."
"AK" 99 510 "401-7334" "no" "no" 0 238.4 96 40.53 246.5 130 20.95 198.4 117 8.93 12.4 4 3.35 3 "False."
"AK" 76 415 "404-1931" "no" "no" 0 143.7 55 24.43 173.1 108 14.71 239.1 95 10.76 5.8 6 1.57 1 "False."
"AK" 59 408 "416-1845" "no" "no" 0 159.5 96 27.12 167.2 123 14.21 138.6 106 6.24 10.2 4 2.75 0 "False."
"AK" 78 510 "418-9385" "no" "no" 0 190.3 88 32.35 194.5 89 16.53 256.5 109 11.54 11.7 5 3.16 2 "False."
"AL" 100 408 "333-3447" "no" "yes" 25 246.6 94 41.92 141.4 112 12.02 189.8 109 8.54 13 5 3.51 1 "False."
"AL" 95 408 "333-7225" "no" "no" 0 190.2 119 32.33 157.1 70 13.35 181.5 120 8.17 14 6 3.78 0 "False."
"AL" 167 510 "335-5882" "no" "no" 0 207.6 88 35.29 132.4 63 11.25 255.2 98 11.48 14.1 5 3.81 0 "False."
"AL" 90 415 "335-9786" "no" "no" 0 214.9 97 36.53 117.8 117 10.01 133.7 78 6.02 11.8 2 3.19 2 "False."
"AL" 16 415 "336-2322" "no" "no" 0 161.9 100 27.52 230.1 138 19.56 148.8 78 6.7 10.2 11 2.75 3 "False."
"AL" 122 415 "336-5920" "no" "no" 0 232.5 96 39.53 205.5 120 17.47 213.7 91 9.62 11.9 2 3.21 0 "False."
"AL" 102 415 "337-1100" "no" "no" 0 123.1 106 20.93 182 102 15.47 244.6 75 11.01 12.6 7 3.4 2 "False."
"AL" 25 408 "337-4600" "no" "no" 0 264.9 80 45.03 281.2 66 23.9 166.1 80 7.47 8.4 4 2.27 1 "True."
"AL" 112 510 "339-5659" "no" "no" 0 189.4 83 32.2 219 89 18.62 168 116 7.56 7.1 8 1.92 3 "False."
"AL" 72 415 "341-7296" "no" "no" 0 166.5 102 28.31 261 103 22.19 262.7 85 11.82 13.3 5 3.59 0 "False."
"AL" 68 510 "344-4970" "no" "no" 0 157.3 83 26.74 220.9 85 18.78 218.9 129 9.85 12 7 3.24 1 "False."
"AL" 70 415 "345-7014" "no" "no" 0 230.3 110 39.15 77.9 87 6.62 247.1 105 11.12 13.2 4 3.56 1 "False."
"AL" 91 408 "348-9383" "yes" "no" 0 151.8 115 25.81 103.6 116 8.81 156.3 86 7.03 12.2 4 3.29 1 "False."
"AL" 137 415 "350-4367" "no" "no" 0 104.7 115 17.8 249.8 144 21.23 192.3 99 8.65 8.9 2 2.4 1 "False."
"AL" 132 408 "350-9318" "no" "no" 0 222.4 85 37.81 165.4 76 14.06 208.4 97 9.38 11.2 4 3.02 0 "False."
"AL" 88 415 "352-5393" "no" "no" 0 181.9 90 30.92 151.5 87 12.88 143 100 6.44 7.5 3 2.03 1 "False."
"AL" 13 415 "354-4333" "no" "no" 0 143.1 139 24.33 239.6 88 20.37 221.7 123 9.98 7.1 5 1.92 2 "False."
"AL" 73 415 "355-9295" "no" "no" 0 192.2 86 32.67 168.6 116 14.33 139.8 87 6.29 9.4 6 2.54 1 "False."
"AL" 146 415 "358-1129" "no" "yes" 32 154 80 26.18 185.5 91 15.77 148.2 107 6.67 8.2 4 2.21 3 "False."
